word,freq
the,121077
of,60038
to,41188
and,55802
in,39608
a,33289
for,12161
that,16667
on,11449
is,14978
was,17331
said,3766
with,14105
he,15527
as,13603
it,13150
by,10818
at,9293
from,8616
his,13017
an,5862
be,7947
has,3279
are,5830
have,4810
but,6804
were,6054
not,7953
this,5661
who,4008
they,4978
had,8877
i,8325
which,6935
will,1924
their,4229
or,7079
its,2926
one,4671
after,2567
new,2416
been,3611
also,2422
we,2107
would,2708
two,2086
more,2862
first,2464
about,2065
up,2829
when,3730
year,914
there,3647
all,4991
out,2444
she,5166
other,2549
people,1326
her,6462
percent,818
than,1880
over,1931
into,2871
last,768
some,2282
government,1134
time,2335
you,5847
years,1205
if,2732
no,2857
world,997
can,1764
three,1095
do,1722
president,693
only,2509
state,1326
million,495
could,1994
us,1223
most,1746
against,989
so,3378
them,2613
what,3261
him,5692
united,1099
during,1278
before,1737
may,3213
since,753
many,1290
while,1338
where,1485
states,1493
because,985
now,1956
city,790
made,1537
like,1391
between,1217
did,2169
just,943
national,693
day,1116
country,804
under,1394
such,2286
second,678
then,2021
company,705
group,508
any,1540
through,1253
china,172
four,603
being,1353
down,1303
war,1297
back,960
off,832
south,623
american,1308
minister,169
police,181
well,1685
including,623
team,255
international,344
week,176
officials,78
still,1145
both,1022
even,1182
high,712
part,1128
told,559
those,1450
end,723
former,407
these,1834
make,699
billion,156
work,754
our,1151
home,545
school,420
party,567
house,949
old,1377
later,903
get,563
another,1111
tuesday,13
news,319
long,1254
five,506
called,903
1,551
wednesday,20
military,440
way,1055
used,931
much,921
next,443
monday,29
thursday,14
friday,26
game,296
here,749
should,1430
take,761
very,1571
my,2416
north,526
security,122
season,269
york,536
how,1460
public,600
early,687
according,434
several,791
court,359
say,811
around,540
foreign,311
10,235
until,655
set,570
political,494
says,191
market,194
however,901
family,483
life,1185
same,1413
general,1124
left,1038
good,875
top,236
university,384
going,442
number,775
major,387
known,932
points,157
won,459
six,340
month,137
dollars,72
bank,233
2,426
iraq,42
use,727
members,381
each,726
area,410
found,816
official,216
sunday,46
place,859
go,1000
based,420
among,712
third,443
times,448
took,784
right,855
days,595
local,382
economic,274
countries,246
see,1158
best,601
report,165
killed,211
held,480
business,522
west,508
does,491
own,1050
came,1142
law,694
months,249
women,554
power,793
think,606
service,420
children,440
bush,68
show,626
help,327
chief,456
saturday,38
system,602
john,427
support,317
series,623
play,294
office,306
following,544
me,2056
meeting,171
expected,179
late,397
washington,278
games,167
european,287
league,200
reported,162
final,199
added,381
without,1194
british,510
white,529
history,556
man,1824
men,1289
became,827
want,369
march,374
case,589
few,628
run,285
money,423
began,1181
open,437
name,572
trade,355
center,233
3,298
israel,70
oil,152
too,640
al,111
film,661
win,107
led,431
east,322
central,260
20,152
air,414
come,1021
chinese,118
town,276
leader,132
army,927
line,430
never,741
little,1138
played,364
prime,98
death,536
companies,197
least,303
put,518
forces,319
past,297
de,377
half,464
june,285
saying,340
know,1106
federal,316
french,1250
peace,292
earlier,116
capital,280
force,402
great,1000
union,446
near,421
released,416
small,753
department,132
every,795
health,251
japan,104
head,847
ago,139
night,507
big,183
cup,73
election,306
region,269
director,147
talks,31
program,209
far,505
today,206
statement,86
july,265
although,477
district,211
again,1031
born,404
development,328
leaders,188
council,228
close,320
record,212
along,625
county,156
france,280
went,1164
point,392
must,1079
spokesman,16
your,1343
member,313
plan,232
financial,148
april,255
recent,146
campaign,326
become,603
troops,380
whether,436
lost,343
music,524
15,136
got,342
israeli,27
30,131
need,236
4,235
lead,287
already,560
russia,261
though,836
might,614
free,583
hit,144
rights,311
11,132
information,194
away,924
12,136
5,223
others,565
control,299
within,551
large,750
economy,140
press,144
agency,63
water,368
died,217
career,220
making,370
deal,152
attack,229
side,632
seven,242
better,348
less,527
september,281
once,697
clinton,54
main,282
due,505
committee,166
building,159
conference,91
club,192
january,296
decision,125
stock,104
america,457
given,535
give,594
often,759
announced,306
television,322
industry,275
order,608
young,781
palestinian,17
age,352
start,134
administration,206
russian,543
prices,78
round,609
december,264
nations,198
human,342
india,133
defense,137
asked,849
total,194
october,286
players,95
bill,222
important,459
southern,325
move,175
fire,354
population,368
rose,294
november,276
include,326
further,283
nuclear,85
street,272
taken,535
media,127
different,509
issue,177
received,540
secretary,119
return,285
college,205
working,196
community,159
eight,219
groups,211
despite,220
level,185
largest,255
whose,286
attacks,115
germany,181
august,275
change,268
church,312
nation,245
german,357
station,133
london,204
weeks,183
having,842
18,92
research,184
black,415
services,200
story,243
6,185
europe,316
sales,90
policy,220
visit,117
northern,219
lot,67
across,331
per,244
current,185
board,162
football,91
ministry,48
workers,100
vote,206
book,301
fell,221
seen,557
role,456
students,92
shares,39
iran,33
process,359
agreement,153
quarter,82
full,401
match,87
started,230
growth,330
yet,554
moved,405
possible,450
western,281
special,306
100,150
plans,142
interest,327
behind,472
strong,271
england,417
named,248
food,177
period,398
real,228
authorities,91
car,66
term,346
rate,177
race,113
nearly,262
korea,46
enough,243
site,114
opposition,152
keep,193
25,98
call,255
future,219
taking,381
island,254
2008,220
2006,194
road,341
outside,205
really,312
century,459
democratic,212
almost,443
single,452
share,133
leading,230
trying,213
find,356
album,519
senior,65
minutes,183
together,398
congress,530
index,58
australia,97
results,297
hard,239
hours,226
land,432
action,463
higher,208
field,352
cut,255
coach,68
elections,106
san,131
issues,118
executive,162
february,237
production,276
areas,195
river,260
face,1179
using,260
japanese,88
province,97
park,127
price,106
commission,132
california,226
father,722
son,493
education,212
7,140
village,198
energy,202
shot,146
short,371
africa,128
key,108
red,419
association,151
average,112
pay,188
exchange,113
eu,31
something,736
gave,555
likely,138
player,107
george,269
2007,201
victory,176
8,142
low,268
things,379
2010,241
pakistan,43
14,101
post,214
social,234
continue,109
ever,370
look,609
chairman,79
job,63
2000,136
soldiers,456
able,294
parliament,136
front,429
himself,1290
problems,146
private,217
lower,294
list,157
built,209
13,101
efforts,167
dollar,44
miles,142
included,255
radio,168
live,314
form,750
david,137
african,117
increase,206
reports,97
sent,401
fourth,159
always,695
king,432
50,89
tax,167
taiwan,23
britain,149
16,101
playing,192
title,155
middle,306
meet,213
global,90
wife,486
2009,207
position,561
located,143
clear,282
ahead,63
2004,147
2005,163
iraqi,12
english,413
result,537
release,172
violence,88
goal,70
project,414
closed,228
border,103
body,457
soon,513
crisis,77
division,206
served,241
tour,147
hospital,99
kong,27
test,111
hong,24
technology,113
believe,236
organization,137
published,180
weapons,58
agreed,138
why,712
nine,133
summer,161
wanted,282
republican,324
act,480
recently,95
texas,168
course,444
problem,137
senate,248
medical,109
un,56
done,494
reached,320
star,196
continued,451
investors,24
living,237
care,173
signed,157
17,83
art,178
provide,144
worked,187
presidential,112
gold,215
obama,54
morning,374
dead,221
opened,307
event,191
previous,151
cost,131
instead,253
canada,132
band,340
teams,66
daily,97
2001,125
available,149
drug,80
coming,261
2003,125
investment,75
michael,166
civil,292
woman,404
training,91
appeared,510
9,115
involved,205
indian,128
similar,277
situation,129
24,68
los,142
running,217
fighting,104
mark,107
40,79
trial,78
hold,168
australian,61
thought,997
study,257
fall,192
mother,462
met,645
relations,227
anti,160
2002,129
song,279
popular,316
base,134
tv,151
ground,235
markets,93
ii,235
newspaper,55
staff,199
saw,690
hand,926
hope,182
operations,168
pressure,295
americans,142
eastern,162
legal,146
asia,72
budget,57
returned,313
considered,347
love,640
wrote,349
stop,143
fight,136
currently,108
charges,50
try,113
aid,159
ended,119
management,144
brought,502
cases,537
decided,232
failed,130
network,159
works,226
gas,106
turned,562
fact,371
vice,121
ca,14
mexico,136
trading,66
especially,525
reporters,7
afghanistan,34
common,483
looking,519
space,194
rates,93
manager,76
loss,198
2011,223
justice,146
thousands,134
james,214
rather,344
fund,70
thing,338
republic,170
opening,205
accused,63
winning,99
scored,27
championship,53
example,509
getting,119
biggest,38
performance,185
sports,77
1998,96
let,550
allowed,181
schools,123
means,347
turn,253
leave,345
robert,125
personal,184
stocks,26
showed,196
light,409
arrested,110
person,283
either,413
offer,105
majority,232
battle,533
19,70
class,186
evidence,166
makes,112
society,280
products,153
regional,78
needed,136
stage,220
am,797
doing,222
families,97
construction,112
various,346
1996,83
sold,179
independent,203
kind,248
airport,61
paul,128
judge,93
internet,76
movement,451
room,1006
followed,458
original,279
angeles,134
italy,95
data,146
comes,132
parties,159
nothing,684
sea,201
bring,205
2012,227
annual,105
officer,523
beijing,12
present,438
remain,196
nato,19
1999,104
22,70
remains,146
allow,160
florida,82
computer,110
21,71
contract,98
coast,125
created,218
demand,117
operation,281
events,294
islamic,41
beat,72
analysts,6
interview,107
helped,125
child,272
probably,196
spent,180
asian,40
effort,180
cooperation,47
shows,159
calls,60
investigation,58
lives,117
video,164
yen,2
runs,66
tried,269
bad,193
described,294
1994,82
toward,373
written,283
throughout,225
established,300
mission,81
associated,281
buy,76
growing,218
green,149
forward,266
competition,78
poor,185
latest,34
banks,95
question,390
1997,90
prison,54
feel,190
attention,247
themselves,382
firm,198
injured,70
itself,372
governor,259
movie,122
range,153
cross,156
track,108
programs,79
1995,80
forced,139
includes,121
difficult,206
produced,342
wall,234
rebels,22
income,114
chance,124
elected,191
23,59
reach,128
adding,52
species,123
wants,52
finished,137
rise,290
killing,53
spain,133
joined,194
italian,110
language,284
rest,275
serious,184
paris,139
tournament,25
officers,355
inside,91
scheduled,27
immediately,231
increased,244
brown,156
remained,337
parts,410
success,224
changes,240
la,120
residents,53
meanwhile,67
net,67
sides,206
jobs,48
hall,186
believed,171
olympic,24
deputy,27
records,175
heart,322
champion,33
award,277
planned,66
version,152
grand,141
institute,70
step,176
democrats,125
rule,210
labor,378
above,395
summit,21
sometimes,551
addition,221
raised,300
william,162
needs,77
26,52
talk,328
longer,305
terms,261
rules,121
ruling,36
joint,428
ball,171
beginning,249
sure,137
28,67
stay,104
safety,77
worth,107
charge,116
korean,32
begin,132
arab,49
27,55
friends,228
anything,407
atlanta,37
caused,182
sources,93
sign,139
issued,115
armed,107
cents,18
funds,68
claimed,97
heavy,204
noted,89
parents,112
spending,43
e,269
related,149
offered,148
particularly,271
aircraft,81
whole,804
60,62
authority,169
risk,124
cannot,333
matter,419
science,196
access,136
boston,117
conditions,305
details,93
coalition,35
compared,111
lee,94
break,145
turkey,50
daughter,274
natural,279
museum,91
strike,64
style,136
paid,161
rock,171
costs,41
view,259
usually,678
spanish,156
royal,204
travel,76
takes,201
books,138
smith,102
chicago,119
systems,168
arrived,159
hundreds,76
hour,205
response,94
developed,222
jones,99
potential,64
cause,447
value,197
idea,211
thomas,108
professional,111
domestic,129
credit,101
changed,216
gaza,8
married,249
launched,90
web,64
muslim,48
source,183
everything,479
weekend,18
camp,173
quickly,239
owned,100
finance,59
palestinians,6
eventually,156
measures,211
cities,177
afp,1
blue,234
richard,86
starting,110
ready,252
plant,69
build,63
designed,118
certain,460
voters,71
modern,247
fans,50
commercial,181
bid,31
provided,195
constitution,374
dropped,102
brother,272
canadian,65
drive,128
goals,26
negotiations,56
affairs,260
unit,77
questions,210
significant,158
create,94
bomb,21
warned,28
religious,161
minute,110
figures,93
victims,31
condition,376
activities,85
upon,1237
leaving,187
experience,179
attorney,53
standard,170
proposed,167
intelligence,70
giving,241
hotel,61
finally,217
magazine,107
whom,575
experts,18
moving,198
quoted,20
baghdad,7
carried,334
feet,205
candidate,112
fifth,115
highest,185
lake,97
employees,83
sell,67
pacific,142
31,41
mostly,96
reason,242
flight,95
square,127
overall,55
1993,73
design,125
passed,439
focus,95
bay,77
dlrs,1
date,122
letter,350
1992,73
wide,181
effect,276
charged,59
29,56
phone,26
figure,148
attempt,137
claims,98
below,190
profit,54
200,72
industrial,157
zealand,46
estimated,94
traditional,114
size,264
practice,180
cars,42
double,108
2013,209
pass,201
hands,489
professor,47
student,71
concerns,47
refused,119
sector,68
review,94
homes,60
disease,653
kept,293
terrorism,12
online,69
speech,141
peter,119
culture,139
reform,107
